timestamp,rain,temperature,snowfall,traffic_volume,borough,rush_hour,heavy_rain,temp_range,any_precipitation
2024-01-06 00:00:00,0.0,32.7335,0.0,9,Brooklyn,0,0,cold,0
2024-01-06 00:00:00,0.0,32.7335,0.0,5,Manhattan,0,0,cold,0
2024-01-06 00:00:00,0.0,32.7335,0.0,61532,Queens,0,0,cold,0
2024-01-06 01:00:00,0.0,31.2935,0.0,10,Brooklyn,0,0,freezing,0
2024-01-06 01:00:00,0.0,31.2935,0.0,3,Manhattan,0,0,freezing,0
2024-01-06 01:00:00,0.0,31.293500000000005,0.0,51223,Queens,0,0,freezing,0
2024-01-06 02:00:00,0.0,30.5735,0.0,13,Brooklyn,0,0,freezing,0
2024-01-06 02:00:00,0.0,30.5735,0.0,2,Manhattan,0,0,freezing,0
2024-01-06 02:00:00,0.0,30.5735,0.0,31921,Queens,0,0,freezing,0
2024-01-06 03:00:00,0.0,30.213501,0.0,9,Brooklyn,0,0,freezing,0
2024-01-06 03:00:00,0.0,30.213501,0.0,0,Manhattan,0,0,freezing,0
2024-01-06 03:00:00,0.0,30.213500999999997,0.0,36814,Queens,0,0,freezing,0
2024-01-06 04:00:00,0.0,29.9435,0.0,10,Brooklyn,0,0,freezing,0
2024-01-06 04:00:00,0.0,29.9435,0.0,2,Manhattan,0,0,freezing,0
2024-01-06 04:00:00,0.0,29.9435,0.0,36921,Queens,0,0,freezing,0
2024-01-06 05:00:00,0.0,28.9535,0.0,9,Brooklyn,0,0,freezing,0
2024-01-06 05:00:00,0.0,28.9535,0.0,8,Manhattan,0,0,freezing,0
2024-01-06 05:00:00,0.0,28.953500000000002,0.0,291015,Queens,0,0,freezing,0
2024-01-06 06:00:00,0.0,28.2335,0.0,19,Brooklyn,0,0,freezing,0
2024-01-06 06:00:00,0.0,28.2335,0.0,19,Manhattan,0,0,freezing,0
2024-01-06 06:00:00,0.0,28.233500000000003,0.0,272023,Queens,0,0,freezing,0
2024-01-06 07:00:00,0.0,26.2535,0.0,15,Brooklyn,1,0,freezing,0
2024-01-06 07:00:00,0.0,26.2535,0.0,65,Manhattan,1,0,freezing,0
2024-01-06 07:00:00,0.0,26.2535,0.0,543024,Queens,1,0,freezing,0
2024-01-06 08:00:00,0.0,26.8835,0.0,21,Brooklyn,1,0,freezing,0
2024-01-06 08:00:00,0.0,26.8835,0.0,14,Manhattan,1,0,freezing,0
2024-01-06 08:00:00,0.0,26.8835,0.0,454342,Queens,1,0,freezing,0
2024-01-06 09:00:00,0.0,26.4335,0.0,31,Brooklyn,1,0,freezing,0
2024-01-06 09:00:00,0.0,26.4335,0.0,21,Manhattan,1,0,freezing,0
2024-01-06 09:00:00,0.0,26.4335,0.0,646963,Queens,1,0,freezing,0
2024-01-06 10:00:00,0.0,27.0635,0.0,30,Brooklyn,0,0,freezing,0
2024-01-06 10:00:00,0.0,27.0635,0.0,12,Manhattan,0,0,freezing,0
2024-01-06 10:00:00,0.0,27.0635,0.0,797575,Queens,0,0,freezing,0
2024-01-06 11:00:00,0.0,27.0635,0.0,29,Brooklyn,0,0,freezing,0
2024-01-06 11:00:00,0.0,27.0635,0.0,12,Manhattan,0,0,freezing,0
2024-01-06 11:00:00,0.0,27.0635,0.0,727866,Queens,0,0,freezing,0
2024-01-06 12:00:00,0.0,27.8735,0.0,30,Brooklyn,0,0,freezing,0
2024-01-06 12:00:00,0.0,27.8735,0.0,19,Manhattan,0,0,freezing,0
