timestamp,rain,temperature,snowfall,traffic_volume,road_id,borough,rush_hour,heavy_rain,temp_range,any_precipitation,predicted_traffic_volume
2024-01-06 00:00:00,0.0,32.7335,0.0,9.0,METROPOLITAN AVENUE_WB,Brooklyn,0,0,cold,0,661.6491531800508
2024-01-06 00:00:00,0.0,32.7335,0.0,5.0,9 AVENUE_SB,Manhattan,0,0,cold,0,661.6491531800508
2024-01-06 00:00:00,0.0,32.7335,0.0,32.0,BROADWAY_NB,Queens,0,0,cold,0,661.6491531800508
2024-01-06 00:00:00,0.0,32.7335,0.0,61.0,BROADWAY_SB,Queens,0,0,cold,0,661.6491531800508
2024-01-06 00:00:00,0.0,32.7335,0.0,5.0,GRAND AVENUE_EB,Queens,0,0,cold,0,661.6491531800508
2024-01-06 01:00:00,0.0,31.2935,0.0,10.0,METROPOLITAN AVENUE_WB,Brooklyn,0,0,freezing,0,674.6950795375355
2024-01-06 01:00:00,0.0,31.2935,0.0,3.0,9 AVENUE_SB,Manhattan,0,0,freezing,0,674.6950795375355
2024-01-06 01:00:00,0.0,31.2935,0.0,23.0,BROADWAY_NB,Queens,0,0,freezing,0,674.6950795375355
2024-01-06 01:00:00,0.0,31.2935,0.0,51.0,BROADWAY_SB,Queens,0,0,freezing,0,674.6950795375355
2024-01-06 01:00:00,0.0,31.2935,0.0,2.0,GRAND AVENUE_EB,Queens,0,0,freezing,0,674.6950795375355
2024-01-06 02:00:00,0.0,30.5735,0.0,13.0,METROPOLITAN AVENUE_WB,Brooklyn,0,0,freezing,0,681.218042716278
2024-01-06 02:00:00,0.0,30.5735,0.0,2.0,9 AVENUE_SB,Manhattan,0,0,freezing,0,681.218042716278
2024-01-06 02:00:00,0.0,30.5735,0.0,21.0,BROADWAY_NB,Queens,0,0,freezing,0,681.218042716278
2024-01-06 02:00:00,0.0,30.5735,0.0,31.0,BROADWAY_SB,Queens,0,0,freezing,0,681.218042716278
2024-01-06 02:00:00,0.0,30.5735,0.0,9.0,GRAND AVENUE_EB,Queens,0,0,freezing,0,681.218042716278
2024-01-06 03:00:00,0.0,30.213501,0.0,9.0,METROPOLITAN AVENUE_WB,Brooklyn,0,0,freezing,0,684.4795152459781
2024-01-06 03:00:00,0.0,30.213501,0.0,0.0,9 AVENUE_SB,Manhattan,0,0,freezing,0,684.4795152459781
2024-01-06 03:00:00,0.0,30.213501,0.0,14.0,BROADWAY_NB,Queens,0,0,freezing,0,684.4795152459781
2024-01-06 03:00:00,0.0,30.213501,0.0,36.0,BROADWAY_SB,Queens,0,0,freezing,0,684.4795152459781
2024-01-06 03:00:00,0.0,30.213501,0.0,8.0,GRAND AVENUE_EB,Queens,0,0,freezing,0,684.4795152459781
2024-01-06 04:00:00,0.0,29.9435,0.0,10.0,METROPOLITAN AVENUE_WB,Brooklyn,0,0,freezing,0,686.9256354976776
2024-01-06 04:00:00,0.0,29.9435,0.0,2.0,9 AVENUE_SB,Manhattan,0,0,freezing,0,686.9256354976776
2024-01-06 04:00:00,0.0,29.9435,0.0,21.0,BROADWAY_NB,Queens,0,0,freezing,0,686.9256354976776
2024-01-06 04:00:00,0.0,29.9435,0.0,36.0,BROADWAY_SB,Queens,0,0,freezing,0,686.9256354976776
