"MONTH","BOROUGH","COMMUNITYDISTRICT","REFUSETONSCOLLECTED","PAPERTONSCOLLECTED","MGPTONSCOLLECTED","RESORGANICSTONS","SCHOOLORGANICTONS","LEAVESORGANICTONS","XMASTREETONS","OTHERORGANICSTONS","BOROUGH_ID"
"2026 / 02","Bronx","01","2879.8","200.3","109.8","16.2","55.7",,,,"2"
"2026 / 02","Bronx","02","6520.9","224.2","154.8","13.4","55.7",,,,"2"
"2026 / 02","Bronx","03","1971.3","107.5","116.1","12.8",,,,,"2"
"2026 / 02","Bronx","04","3610.0","199.9","226.5","11.9","42.7",,,"0.5","2"
"2026 / 02","Bronx","05","3085.9","185.3","246.1","12.1","49.4",,,,"2"
"2026 / 02","Bronx","06","2692.7","147.4","137.5","9.5","38.8",,,,"2"
"2026 / 02","Bronx","07","3332.2","238.8","328.0","25.2","38.1",,,,"2"
"2026 / 02","Bronx","08","1953.3","241.6","296.2","80.8",,,,,"2"
"2026 / 02","Bronx","09","3147.4","171.9","285.7","61.0","43.8",,,,"2"
"2026 / 02","Bronx","10","1994.3","221.2","257.3","77.1",,,,,"2"
"2026 / 02","Bronx","11","2564.4","228.1","252.1","70.2","64.2",,,,"2"
"2026 / 02","Bronx","12","3027.7","264.2","410.0","131.3",,,,,"2"
"2026 / 02","Brooklyn","01","5707.8","636.8","374.6","70.2","30.9",,,,"3"
"2026 / 02","Brooklyn","02","2711.4","493.7","370.0","103.5","45.6",,,,"3"
"2026 / 02","Brooklyn","03","4117.7","358.4","262.8","78.7","37.0",,,"6.8","3"
"2026 / 02","Brooklyn","04","3606.6","276.8","281.7","58.9","55.9",,,"0.6","3"
"2026 / 02","Brooklyn","05","4077.3","193.6","348.0","64.8",,,,,"3"
"2026 / 02","Brooklyn","06","1952.8","423.8","315.9","119.5","57.1",,,,"3"
"2026 / 02","Brooklyn","07","2736.6","311.2","294.1","90.2",,,,,"3"
"2026 / 02","Brooklyn","08","5064.6","263.4","224.2","58.1","39.3",,,"10.5","3"
"2026 / 02","Brooklyn","09","2707.8","226.8","195.4","39.8","28.8",,,,"3"
"2026 / 02","Brooklyn","10","3223.9","340.8","343.0","71.1","0.7",,,,"3"
"2026 / 02","Brooklyn","11","6634.1","425.6","446.6","254.7","70.6",,,,"3"
"2026 / 02","Brooklyn","12","6281.2","583.4","271.1","55.4","62.3",,,,"3"
"2026 / 02","Brooklyn","13","2311.1","222.5","183.0","46.9","8.0",,,,"3"
"2026 / 02","Brooklyn","14","4238.8","379.9","319.6","77.1","143.1",,,,"3"
"2026 / 02","Brooklyn","15","3979.5","408.1","411.3","137.4",,,,,"3"
"2026 / 02","Brooklyn","16","2485.8","92.8","121.8","28.6",,,,,"3"
"2026 / 02","Brooklyn","17","3598.8","224.2","312.9","75.5",,,,,"3"
"2026 / 02","Brooklyn","18","4161.3","393.9","463.9","108.8","54.4",,,,"3"
"2026 / 02","Manhattan","01","1463.8","332.7","218.6","19.0",,,,,"1"
"2026 / 02","Manhattan","02","1919.1","354.1","238.6","33.9","23.4",,,"6.0","1"
"2026 / 02","Manhattan","03","5316.7","402.3","281.7","33.4","28.4",,,,"1"
"2026 / 02","Manhattan","04","2944.3","578.0","305.2","50.1",,,,"2.0","1"
"2026 / 02","Manhattan","05","1471.3","219.9","149.3","17.9",,,,,"1"
"2026 / 02","Manhattan","06","2848.1","603.0","324.5","50.0",,,,,"1"
"2026 / 02","Manhattan","07","3911.6","844.9","608.7","205.3","28.6",,,,"1"
"2026 / 02","Manhattan","08","5035.1","880.7","637.3","128.9",,,,"10.4","1"
"2026 / 02","Manhattan","09","1930.0","236.3","186.6","41.9","61.7",,,,"1"
"2026 / 02","Manhattan","10","5034.6","225.9","204.8","30.8","44.2",,,,"1"
"2026 / 02","Manhattan","11","2135.8","193.8","144.8","18.8",,,,"3.4","1"
"2026 / 02","Manhattan","12","4192.1","376.3","371.1","60.3","38.1",,,,"1"
"2026 / 02","Queens","01","3392.4","505.3","526.8","138.6","84.2",,,"6.3","4"
"2026 / 02","Queens","02","3367.5","515.7","379.4","133.9","138.2",,,"9.5","4"
"2026 / 02","Queens","03","3785.4","259.2","417.0","109.9",,,,,"4"
"2026 / 02","Queens","04","3446.3","301.0","404.4","100.6",,,,,"4"
"2026 / 02","Queens","05","3573.8","446.9","534.2","172.1","93.0",,,,"4"
"2026 / 02","Queens","06","2171.4","306.6","303.3","100.4",,,,,"4"
"2026 / 02","Queens","07","7004.8","755.6","613.9","157.6","66.5",,,,"4"
"2026 / 02","Queens","08","2919.4","341.0","328.9","109.3",,,,,"4"
"2026 / 02","Queens","09","3054.4","339.1","403.0","160.1","92.5",,,,"4"
"2026 / 02","Queens","10","2670.2","253.5","412.0","85.1","62.4",,,,"4"
"2026 / 02","Queens","11","1975.5","324.9","323.1","161.7","54.8",,,,"4"
"2026 / 02","Queens","12","5202.2","365.2","716.9","186.6","58.3",,,,"4"
"2026 / 02","Queens","13","3516.6","307.8","584.3","143.7","46.1",,,,"4"
"2026 / 02","Queens","14","2779.8","208.1","173.8","57.1",,,,,"4"
"2026 / 02","Staten Island","01","3985.2","490.2","511.2","100.7",,,,,"5"
"2026 / 02","Staten Island","02","3616.2","404.0","401.5","142.0","22.9",,,"3.5","5"
"2026 / 02","Staten Island","03","3956.9","517.2","512.1","146.2","27.8",,,,"5"
"2026 / 01","Bronx","01","3111.3","199.6","100.4","22.4","70.7",,,,"2"
"2026 / 01","Bronx","02","7255.7","200.5","216.8","16.2","89.5",,,,"2"
"2026 / 01","Bronx","03","2162.0","95.0","102.3","14.7",,,,,"2"
"2026 / 01","Bronx","04","3924.5","184.3","223.0","16.3","63.5",,,"0.2","2"
"2026 / 01","Bronx","05","3388.6","179.6","236.9","14.4","64.6",,,,"2"
"2026 / 01","Bronx","06","3049.7","146.8","126.0","10.9","51.0",,,,"2"
"2026 / 01","Bronx","07","3660.3","238.0","339.7","38.4","45.1",,,,"2"
"2026 / 01","Bronx","08","2241.2","230.8","269.2","119.9",,,,,"2"
"2026 / 01","Bronx","09","3418.9","195.8","312.8","89.5","56.1",,,,"2"
"2026 / 01","Bronx","10","2241.4","235.5","279.3","113.3",,,,,"2"
"2026 / 01","Bronx","11","2841.9","230.6","255.1","98.3","85.0",,,,"2"
"2026 / 01","Bronx","12","3304.8","256.2","438.4","175.5",,,,,"2"
"2026 / 01","Brooklyn","01","5538.4","644.6","369.3","119.0","37.6",,,,"3"
"2026 / 01","Brooklyn","02","2764.3","476.4","319.0","175.4","55.5",,,,"3"
"2026 / 01","Brooklyn","03","4006.6","350.1","263.9","126.7","52.9",,,"23.6","3"
"2026 / 01","Brooklyn","04","3962.8","301.3","287.4","80.8","68.6",,,,"3"
"2026 / 01","Brooklyn","05","4041.8","190.6","346.4","130.8",,,,,"3"
"2026 / 01","Brooklyn","06","2208.4","443.3","311.5","145.8","72.9",,,,"3"
"2026 / 01","Brooklyn","07","3072.9","306.5","279.8","113.7",,,,,"3"
"2026 / 01","Brooklyn","08","5444.8","247.3","211.2","85.9","50.2",,,"22.2","3"
"2026 / 01","Brooklyn","09","2630.6","250.1","208.7","58.3","44.2",,,,"3"
"2026 / 01","Brooklyn","10","3456.2","339.2","341.7","104.5","1.7",,,,"3"
"2026 / 01","Brooklyn","11","6861.7","438.6","458.6","305.2","110.8",,,,"3"
"2026 / 01","Brooklyn","12","6340.0","565.3","272.6","75.1","82.7",,,,"3"
"2026 / 01","Brooklyn","13","2365.9","218.7","189.0","69.2","6.0",,,,"3"
"2026 / 01","Brooklyn","14","4303.4","377.1","325.3","103.1","182.3",,,,"3"
"2026 / 01","Brooklyn","15","3673.4","413.6","392.3","156.7",,,,,"3"
"2026 / 01","Brooklyn","16","2589.8","113.3","133.4","44.4",,,,,"3"
"2026 / 01","Brooklyn","17","3871.9","261.5","360.2","95.8","2.6",,,,"3"
"2026 / 01","Brooklyn","18","4384.2","425.8","504.9","104.7","80.8",,,,"3"
"2026 / 01","Manhattan","01","1501.7","312.2","212.3","50.7",,,,,"1"
"2026 / 01","Manhattan","02","1905.1","303.7","202.8","77.3","26.7",,,"6.2","1"
"2026 / 01","Manhattan","03","5414.6","368.8","281.0","60.0","37.6",,,,"1"
"2026 / 01","Manhattan","04","3041.6","573.9","296.9","87.3",,,,"6.0","1"
"2026 / 01","Manhattan","05","1498.6","194.6","124.4","34.8",,,,,"1"
"2026 / 01","Manhattan","06","3022.0","622.5","317.5","96.4",,,,,"1"
"2026 / 01","Manhattan","07","4247.2","771.3","561.2","304.0","38.6",,,,"1"
"2026 / 01","Manhattan","08","4944.2","812.3","595.6","230.2",,,,"5.2","1"
"2026 / 01","Manhattan","09","2116.1","221.9","194.2","66.6","80.6",,,,"1"
"2026 / 01","Manhattan","10","5560.1","225.9","205.3","56.0","61.2",,,,"1"
"2026 / 01","Manhattan","11","2369.0","170.2","138.0","36.2",,,,"6.3","1"
"2026 / 01","Manhattan","12","4411.2","364.0","385.6","86.5","49.6",,,,"1"
"2026 / 01","Queens","01","3861.7","510.5","507.4","201.4","115.5",,,"13.1","4"
"2026 / 01","Queens","02","3624.9","473.6","352.5","190.2","170.8",,,"8.2","4"
"2026 / 01","Queens","03","4181.7","299.3","444.9","170.7",,,,,"4"
"2026 / 01","Queens","04","3883.8","318.0","430.6","138.3",,,,,"4"
"2026 / 01","Queens","05","4058.0","497.3","546.6","242.5","112.3",,,,"4"
"2026 / 01","Queens","06","2447.6","312.3","302.6","148.9",,,,,"4"
"2026 / 01","Queens","07","7889.1","824.3","620.9","176.0","89.8",,,,"4"
"2026 / 01","Queens","08","3123.2","341.1","301.6","155.8",,,,,"4"
"2026 / 01","Queens","09","3421.2","352.1","400.0","200.9","110.6",,,,"4"
"2026 / 01","Queens","10","2961.5","286.6","402.7","119.2","86.4",,,,"4"
"2026 / 01","Queens","11","2254.5","344.6","340.3","222.7","81.7",,,,"4"
"2026 / 01","Queens","12","5639.0","406.7","733.0","257.5","74.7",,,,"4"
"2026 / 01","Queens","13","3987.1","378.4","648.4","168.9","55.2",,,,"4"
"2026 / 01","Queens","14","3122.7","252.2","200.1","90.7",,,,,"4"
"2026 / 01","Staten Island","01","4503.2","556.7","553.0","184.1",,,,"1.0","5"
"2026 / 01","Staten Island","02","4107.8","421.2","406.7","218.0","25.2",,,"1.2","5"
"2026 / 01","Staten Island","03","4678.3","576.8","555.5","243.6","36.9",,,,"5"
"2025 / 12","Bronx","01","3507.8","277.7","157.9","38.1","68.2",,,,"2"
"2025 / 12","Bronx","02","8161.3","240.1","216.3","18.8","90.9",,,,"2"
"2025 / 12","Bronx","03","2458.8","178.2","171.9","20.0",,,,,"2"
"2025 / 12","Bronx","04","4429.0","303.8","321.4","18.9","62.2",,,"0.5","2"
"2025 / 12","Bronx","05","3770.0","272.4","331.8","14.7","64.7",,,,"2"
"2025 / 12","Bronx","06","3409.3","234.4","210.4","18.4","49.1",,,"0.1","2"
"2025 / 12","Bronx","07","4089.4","357.4","454.1","48.5","44.8",,,,"2"
"2025 / 12","Bronx","08","2470.3","375.1","402.3","152.0",,,,,"2"
"2025 / 12","Bronx","09","3902.8","277.7","390.4","107.6","54.6",,,,"2"
"2025 / 12","Bronx","10","2591.5","339.5","365.6","139.1",,,,,"2"
"2025 / 12","Bronx","11","3194.9","338.7","333.7","134.8","87.5",,,,"2"
"2025 / 12","Bronx","12","3822.5","385.0","602.2","259.6",,,,,"2"
"2025 / 12","Brooklyn","01","6144.3","827.8","435.1","105.2","36.7",,,,"3"
"2025 / 12","Brooklyn","02","2939.0","674.3","415.8","208.2","58.7",,,,"3"
"2025 / 12","Brooklyn","03","4762.8","523.1","369.1","205.8","54.5",,,"13.9","3"
"2025 / 12","Brooklyn","04","4443.9","406.3","371.8","90.3","69.7",,,,"3"
"2025 / 12","Brooklyn","05","5032.6","321.8","529.9","162.1",,,,,"3"
"2025 / 12","Brooklyn","06","2321.9","618.8","393.2","175.9","79.0",,,,"3"
"2025 / 12","Brooklyn","07","3292.1","445.2","384.2","166.3",,,,,"3"
"2025 / 12","Brooklyn","08","6331.0","388.9","295.8","106.4","50.2",,,"23.3","3"
"2025 / 12","Brooklyn","09","3158.2","329.9","260.2","69.4","39.0",,,,"3"
"2025 / 12","Brooklyn","10","3753.0","533.0","485.7","148.5",,,,,"3"
"2025 / 12","Brooklyn","11","7896.9","651.6","582.6","370.7","115.3",,,,"3"
"2025 / 12","Brooklyn","12","7220.9","828.7","347.6","100.3","87.0",,,,"3"
"2025 / 12","Brooklyn","13","2770.2","305.7","237.5","81.9",,,,,"3"
"2025 / 12","Brooklyn","14","4953.4","560.2","449.6","159.7","190.9",,,,"3"
"2025 / 12","Brooklyn","15","4576.6","620.3","548.3","204.4","0.4",,,,"3"
"2025 / 12","Brooklyn","16","3008.9","135.5","179.7","54.3",,,,,"3"
"2025 / 12","Brooklyn","17","4632.4","364.8","470.8","162.0",,,,,"3"
"2025 / 12","Brooklyn","18","5256.5","637.6","655.4","193.2","80.1",,,,"3"
"2025 / 12","Manhattan","01","1633.4","401.2","237.1","25.0",,,,,"1"
"2025 / 12","Manhattan","02","2137.8","475.0","298.9","63.6","29.2",,,"6.8","1"
"2025 / 12","Manhattan","03","6031.3","438.0","317.1","63.9","39.0",,,,"1"
"2025 / 12","Manhattan","04","3334.5","697.2","326.9","66.3",,,,"4.0","1"
"2025 / 12","Manhattan","05","1852.2","304.1","172.5","23.5",,,,,"1"
"2025 / 12","Manhattan","06","3207.3","789.3","364.6","63.0",,,,,"1"
"2025 / 12","Manhattan","07","4588.8","1087.3","728.3","280.3","38.1",,,,"1"
"2025 / 12","Manhattan","08","5490.5","1186.4","752.8","170.6",,,,"5.9","1"
"2025 / 12","Manhattan","09","2313.5","267.1","227.1","55.1","74.6",,,,"1"
"2025 / 12","Manhattan","10","6270.5","321.5","261.3","55.9","57.6",,,,"1"
"2025 / 12","Manhattan","11","2580.1","264.0","183.5","39.4",,,,"5.9","1"
"2025 / 12","Manhattan","12","5093.7","499.2","508.9","87.9","49.6",,,,"1"
"2025 / 12","Queens","01","4195.4","767.7","692.2","266.8","120.5",,,"22.7","4"
"2025 / 12","Queens","02","3977.0","705.9","476.2","212.5","172.9",,,"9.6","4"
"2025 / 12","Queens","03","4855.4","411.1","561.3","195.9",,,,,"4"
"2025 / 12","Queens","04","4221.2","426.4","521.2","159.6",,,,,"4"
"2025 / 12","Queens","05","4616.7","748.6","720.8","317.4","111.3",,,,"4"
"2025 / 12","Queens","06","2671.9","462.4","390.8","205.4","4.7",,,,"4"
"2025 / 12","Queens","07","8826.6","1074.4","823.6","265.4","93.3",,,,"4"
"2025 / 12","Queens","08","3689.2","489.1","407.7","249.0",,,,,"4"
"2025 / 12","Queens","09","3975.9","530.7","550.1","268.6","111.1",,,,"4"
"2025 / 12","Queens","10","3534.5","419.3","569.6","168.0","78.4",,,,"4"
"2025 / 12","Queens","11","2666.3","503.4","452.1","379.8","86.3",,,,"4"
"2025 / 12","Queens","12","6711.1","582.6","984.1","414.8","75.5",,,,"4"
"2025 / 12","Queens","13","5013.5","530.1","872.0","244.5","64.7",,,,"4"
"2025 / 12","Queens","14","3619.0","323.9","250.8","98.7",,,,,"4"
"2025 / 12","Staten Island","01","5536.1","764.9","718.2","284.7",,,,"0.6","5"
"2025 / 12","Staten Island","02","4780.8","617.4","552.3","359.0","27.1",,,"7.0","5"
"2025 / 12","Staten Island","03","5530.4","867.1","738.8","428.7","36.3",,,,"5"
"2025 / 11","Bronx","01","3145.3","223.8","121.4","34.9","71.7",,,,"2"
"2025 / 11","Bronx","02","7360.5","200.1","169.5","19.4","85.0",,,,"2"
"2025 / 11","Bronx","03","2128.4","127.6","129.6","29.7",,,,,"2"
"2025 / 11","Bronx","04","3951.6","229.7","271.9","21.8","60.5",,,"0.2","2"
"2025 / 11","Bronx","05","3401.2","208.3","287.8","19.5","66.2",,,,"2"
"2025 / 11","Bronx","06","3091.0","173.9","153.3","14.3","48.4",,,"0.3","2"
"2025 / 11","Bronx","07","3656.3","251.0","366.7","48.7",,,,,"2"
"2025 / 11","Bronx","08","2247.5","283.7","304.2","178.5","40.8",,,,"2"
"2025 / 11","Bronx","09","3614.7","210.2","328.9","150.4","62.0",,,,"2"
"2025 / 11","Bronx","10","2413.8","256.2","307.1","205.2",,,,,"2"
"2025 / 11","Bronx","11","2925.3","263.5","279.6","217.4","83.1",,,,"2"
"2025 / 11","Bronx","12","3481.1","291.7","481.0","372.4",,,,,"2"
"2025 / 11","Brooklyn","01","5771.8","674.6","373.2","128.7","38.1",,,,"3"
"2025 / 11","Brooklyn","02","2834.1","555.5","360.4","208.4","60.3",,,,"3"
"2025 / 11","Brooklyn","03","4325.6","403.2","288.8","192.6","55.0",,,"13.0","3"
"2025 / 11","Brooklyn","04","4227.9","324.0","321.7","93.7","67.7",,,,"3"
"2025 / 11","Brooklyn","05","4469.2","215.7","402.8","150.7",,,,,"3"
"2025 / 11","Brooklyn","06","2144.5","491.9","336.7","189.6","82.8",,,,"3"
"2025 / 11","Brooklyn","07","3134.7","352.1","322.0","144.8",,,,,"3"
"2025 / 11","Brooklyn","08","5768.8","299.3","243.4","98.4","47.6",,,"21.9","3"
"2025 / 11","Brooklyn","09","2924.0","273.8","229.9","86.3","41.3",,,,"3"
"2025 / 11","Brooklyn","10","3454.5","393.2","383.7","179.9","3.0",,,,"3"
"2025 / 11","Brooklyn","11","7223.0","516.0","496.9","421.9","109.5",,,,"3"
"2025 / 11","Brooklyn","12","6783.4","666.7","302.3","129.0","80.7",,,,"3"
"2025 / 11","Brooklyn","13","2519.4","244.4","203.8","100.4",,,,,"3"
"2025 / 11","Brooklyn","14","4567.9","448.0","389.0","223.4","186.5",,,,"3"
"2025 / 11","Brooklyn","15","4370.2","487.9","470.3","297.6",,,,,"3"
"2025 / 11","Brooklyn","16","2753.9","109.6","154.1","78.5",,,,,"3"
"2025 / 11","Brooklyn","17","4205.1","283.2","378.6","212.3",,,,,"3"
"2025 / 11","Brooklyn","18","4987.0","518.9","564.2","335.2","80.3",,,,"3"
"2025 / 11","Manhattan","01","1574.4","333.6","205.5","23.9",,,,,"1"
"2025 / 11","Manhattan","02","2058.1","400.2","259.7","60.1","25.4",,,"8.0","1"
"2025 / 11","Manhattan","03","5723.2","391.4","305.1","72.1","32.3",,,,"1"
"2025 / 11","Manhattan","04","3264.8","587.4","303.4","65.5",,,,"7.0","1"
"2025 / 11","Manhattan","05","1737.1","231.1","141.2","21.6",,,,,"1"
"2025 / 11","Manhattan","06","3047.1","656.3","330.7","66.9",,,,,"1"
"2025 / 11","Manhattan","07","4367.0","901.3","635.5","265.1","37.7",,,,"1"
"2025 / 11","Manhattan","08","5223.6","994.5","685.2","173.6",,,,"7.7","1"
"2025 / 11","Manhattan","09","2112.4","239.2","203.5","63.6","73.9",,,,"1"
"2025 / 11","Manhattan","10","5690.7","252.4","209.7","52.0","50.0",,,"0.4","1"
"2025 / 11","Manhattan","11","2346.1","204.9","155.3","40.7",,,,"17.8","1"
"2025 / 11","Manhattan","12","4633.3","377.1","390.3","91.8","45.9",,,,"1"
"2025 / 11","Queens","01","3784.2","593.2","566.3","296.8","122.1",,,"55.3","4"
"2025 / 11","Queens","02","3697.6","533.2","384.5","221.9","167.8",,,"7.8","4"
"2025 / 11","Queens","03","4426.9","308.2","458.6","231.5",,,,,"4"
"2025 / 11","Queens","04","3880.5","303.5","462.2","168.8",,,,,"4"
"2025 / 11","Queens","05","4220.7","558.3","595.3","443.8","105.3",,,,"4"
"2025 / 11","Queens","06","2435.6","340.6","321.0","305.5",,,,,"4"
"2025 / 11","Queens","07","8436.8","905.5","701.1","431.3","97.3",,,,"4"
"2025 / 11","Queens","08","3465.9","385.6","350.9","320.6",,,,,"4"
"2025 / 11","Queens","09","3612.9","396.7","462.5","386.2","114.8",,,,"4"
"2025 / 11","Queens","10","3296.9","308.9","462.2","225.3","70.7",,,,"4"
"2025 / 11","Queens","11","2515.1","383.9","387.4","612.4","82.9",,,,"4"
"2025 / 11","Queens","12","6101.2","436.9","804.7","615.2","72.4",,,,"4"
"2025 / 11","Queens","13","4686.0","415.1","712.9","345.4","68.3",,,,"4"
"2025 / 11","Queens","14","3280.4","267.1","215.0","111.6",,,,,"4"
"2025 / 11","Staten Island","01","5002.8","588.1","599.2","407.6",,,,,"5"
"2025 / 11","Staten Island","02","4386.1","452.5","466.8","520.5","30.4",,,"3.1","5"
"2025 / 11","Staten Island","03","4993.0","617.2","608.0","656.9","37.8",,,,"5"
"2025 / 10","Bronx","01","3352.0","235.0","124.8","16.7","85.9",,,,"2"
"2025 / 10","Bronx","02","7942.4","231.6","213.8","20.4","100.7",,,,"2"
"2025 / 10","Bronx","03","2349.1","140.1","147.5","19.1",,,,,"2"
"2025 / 10","Bronx","04","4210.4","233.3","291.1","20.8","70.7",,,"0.3","2"
"2025 / 10","Bronx","05","3578.3","216.6","299.9","17.1","85.6",,,,"2"
"2025 / 10","Bronx","06","3281.8","197.0","177.0","16.2","61.9",,,"0.1","2"
"2025 / 10","Bronx","07","3868.0","289.8","423.2","53.6",,,,,"2"
"2025 / 10","Bronx","08","2363.3","300.7","335.8","136.9","49.8",,,,"2"
"2025 / 10","Bronx","09","3823.7","229.3","365.8","112.1","82.9",,,,"2"
"2025 / 10","Bronx","10","2553.1","286.2","335.7","158.4",,,,,"2"
"2025 / 10","Bronx","11","3176.1","282.5","308.7","154.2","103.7",,,,"2"
"2025 / 10","Bronx","12","3799.3","322.3","533.5","277.5",,,,,"2"
"2025 / 10","Brooklyn","01","5960.5","761.1","456.7","104.2","50.0",,,,"3"
"2025 / 10","Brooklyn","02","2939.8","596.2","392.7","159.0","62.3",,,,"3"
"2025 / 10","Brooklyn","03","4501.6","465.1","338.0","144.6","70.9",,,"13.9","3"
"2025 / 10","Brooklyn","04","4433.6","362.4","362.2","93.9","85.2",,,"1.0","3"
"2025 / 10","Brooklyn","05","4884.5","249.0","479.2","159.5",,,,,"3"
"2025 / 10","Brooklyn","06","2214.3","549.8","376.8","166.9","94.3",,,,"3"
"2025 / 10","Brooklyn","07","3288.4","389.4","347.6","123.5",,,,,"3"
"2025 / 10","Brooklyn","08","6492.3","325.4","275.7","92.1","60.4",,,"23.0","3"
"2025 / 10","Brooklyn","09","3040.1","294.6","274.7","89.1","45.6",,,,"3"
"2025 / 10","Brooklyn","10","3634.8","421.1","420.9","161.0",,,,,"3"
"2025 / 10","Brooklyn","11","7806.3","572.1","545.3","407.4","143.1",,,,"3"
"2025 / 10","Brooklyn","12","7251.2","704.7","381.0","101.1","103.2",,,,"3"
"2025 / 10","Brooklyn","13","2787.7","271.0","233.7","80.2",,,,,"3"
"2025 / 10","Brooklyn","14","4857.6","455.1","412.1","138.0","225.2",,,,"3"
"2025 / 10","Brooklyn","15","4743.8","514.7","513.9","225.1",,,,,"3"
"2025 / 10","Brooklyn","16","2934.9","118.8","164.4","53.6",,,,,"3"
"2025 / 10","Brooklyn","17","4451.4","315.0","430.4","158.0",,,,,"3"
"2025 / 10","Brooklyn","18","5288.9","528.8","613.1","199.3","96.0",,,,"3"
"2025 / 10","Manhattan","01","1651.7","400.9","255.8","30.5",,,,,"1"
"2025 / 10","Manhattan","02","2268.4","437.3","281.6","57.3","34.5",,,"5.5","1"
"2025 / 10","Manhattan","03","6099.0","482.5","358.3","61.5","43.3",,,,"1"
"2025 / 10","Manhattan","04","3409.0","709.8","355.4","74.2",,,,"7.4","1"
"2025 / 10","Manhattan","05","1810.1","289.7","166.2","24.3",,,,,"1"
"2025 / 10","Manhattan","06","3316.7","791.9","393.6","75.5",,,,,"1"
"2025 / 10","Manhattan","07","4529.1","989.1","674.4","267.1","46.3",,,,"1"
"2025 / 10","Manhattan","08","5516.8","1106.2","743.0","178.8",,,,"5.5","1"
"2025 / 10","Manhattan","09","2246.7","269.5","238.1","64.6","103.4",,,,"1"
"2025 / 10","Manhattan","10","6207.0","293.7","275.2","49.6","67.3",,,,"1"
"2025 / 10","Manhattan","11","2456.3","228.5","172.9","28.0",,,,"8.3","1"
"2025 / 10","Manhattan","12","4866.5","450.8","472.8","87.7","58.6",,,,"1"
"2025 / 10","Queens","01","4054.1","643.2","617.2","247.9","145.3",,,"17.5","4"
"2025 / 10","Queens","02","3978.0","580.0","429.9","211.7","205.4",,,"9.0","4"
"2025 / 10","Queens","03","4863.3","358.5","536.2","220.0",,,,,"4"
"2025 / 10","Queens","04","4171.3","347.5","529.0","176.4",,,,,"4"
"2025 / 10","Queens","05","4443.2","613.0","666.3","364.9","131.2",,,,"4"
"2025 / 10","Queens","06","2628.8","377.7","363.9","210.0",,,,,"4"
"2025 / 10","Queens","07","8960.1","979.4","765.8","307.5","114.1",,,,"4"
"2025 / 10","Queens","08","3736.8","427.6","399.1","218.8",,,,,"4"
"2025 / 10","Queens","09","3943.1","433.9","510.7","304.9","138.5",,,,"4"
"2025 / 10","Queens","10","3627.5","344.9","521.0","184.2","97.8",,,,"4"
"2025 / 10","Queens","11","2689.8","419.4","418.2","377.9","101.1",,,,"4"
"2025 / 10","Queens","12","6773.0","484.4","915.6","461.1","93.0",,,,"4"
"2025 / 10","Queens","13","5081.2","463.8","804.2","244.4","79.6",,,,"4"
"2025 / 10","Queens","14","3591.3","278.0","247.1","110.3",,,,,"4"
"2025 / 10","Staten Island","01","5353.8","611.4","657.8","283.5",,,,"0.8","5"
"2025 / 10","Staten Island","02","4727.0","498.9","523.7","402.0","37.5",,,"5.2","5"
"2025 / 10","Staten Island","03","5245.4","681.9","657.6","468.2","45.4",,,,"5"
"2025 / 09","Bronx","01","3372.2","264.8","141.4","16.4","68.7",,,,"2"
"2025 / 09","Bronx","02","7903.8","224.7","210.8","12.4","76.6",,,,"2"
"2025 / 09","Bronx","03","2336.5","133.2","142.1","13.9",,,,,"2"
"2025 / 09","Bronx","04","4169.3","249.8","307.2","17.5","63.3",,,,"2"
"2025 / 09","Bronx","05","3542.0","232.4","312.8","16.5","63.4",,,,"2"
"2025 / 09","Bronx","06","3311.7","209.7","180.0","13.1","46.2",,,,"2"
"2025 / 09","Bronx","07","3811.4","268.7","408.5","50.3",,,,,"2"
"2025 / 09","Bronx","08","2385.4","316.6","346.0","132.3","45.0",,,,"2"
"2025 / 09","Bronx","09","3779.9","225.5","360.2","97.6","61.8",,,,"2"
"2025 / 09","Bronx","10","2522.8","260.8","329.8","144.5",,,,,"2"
"2025 / 09","Bronx","11","3200.2","273.1","304.0","137.4","75.6",,,,"2"
"2025 / 09","Bronx","12","3840.5","317.3","537.1","267.8",,,,,"2"
"2025 / 09","Brooklyn","01","6170.5","760.8","425.4","87.8","43.4",,,,"3"
"2025 / 09","Brooklyn","02","2931.5","595.0","363.8","130.8","46.0",,,,"3"
"2025 / 09","Brooklyn","03","4597.1","463.9","335.4","128.5","65.8",,,"16.4","3"
"2025 / 09","Brooklyn","04","4661.5","372.5","340.1","84.8","70.5",,,"0.9","3"
"2025 / 09","Brooklyn","05","4820.0","232.0","466.4","132.0",,,,,"3"
"2025 / 09","Brooklyn","06","2308.3","528.9","345.6","73.4","81.5",,,,"3"
"2025 / 09","Brooklyn","07","3248.2","390.2","341.9","115.9",,,,,"3"
"2025 / 09","Brooklyn","08","6127.5","336.2","285.5","88.3","50.8",,,"29.9","3"
"2025 / 09","Brooklyn","09","3124.1","271.6","244.5","59.5","38.3",,,,"3"
"2025 / 09","Brooklyn","10","3708.6","416.4","422.4","144.0","1.5",,,,"3"
"2025 / 09","Brooklyn","11","7768.8","536.2","540.3","403.0","125.6",,,,"3"
"2025 / 09","Brooklyn","12","7230.0","803.2","342.2","88.0","88.7",,,,"3"
"2025 / 09","Brooklyn","13","2816.8","279.5","226.1","79.4","6.5",,,,"3"
